uid,y_id,y_label,item_type,group,shape,color,outline_level,wbs,summary,milestone,include,fill_alpha,bar_pattern,bar_line_color,bar_line_width,marker_size,marker_line_color,marker_line_width
22,1.3.2,"TMRR — Requirements, Architecture & Design",task,TMRR,rectangle,#EF553B,3,1.3.2,True,False,False,0.28,\,#333333,2,,,
23,1.3.2.1,CDD Validation,milestone,TMRR,star,#FECB52,4,1.3.2.1,False,True,True,,,#333333,1,14.0,black,1.0
24,1.3.2.2,System Functional Review (SFR),milestone,TMRR,diamond,#FECB52,4,1.3.2.2,False,True,True,,,#333333,1,14.0,black,1.0
25,1.3.2.3,Preliminary Design Review (PDR),milestone,TMRR,diamond,#FECB52,4,1.3.2.3,False,True,True,,,#333333,1,14.0,black,1.0
26,1.3.3,TMRR — Contracting & Planning (EMD),task,TMRR,rectangle,#EF553B,3,1.3.3,True,False,False,0.28,\,#333333,2,,,
27,1.3.3.1,Prepare EMD RFP package,task,TMRR,rectangle,#EF553B,4,1.3.3.1,False,False,True,0.85,,#333333,1,,,
28,1.3.3.2,RFP Release Decision Point (EMD),milestone,TMRR,triangle-up,#FECB52,4,1.3.3.2,False,True,True,,,#333333,1,18.0,black,1.0
29,1.3.3.3,Source selection (EMD contract award prep),task,TMRR,rectangle,#EF553B,4,1.3.3.3,False,False,True,0.85,,#333333,1,,,
30,1.3.4,Milestone B Decision (enter EMD),milestone,TMRR,triangle-up,#FECB52,3,1.3.4,False,True,True,,,#333333,1,18.0,black,1.0
31,1.4.1,EMD — Detailed Design & Integration,task,EMD,rectangle,#00CC96,3,1.4.1,True,False,False,0.28,\,#333333,2,,,
32,1.4.1.1,Detailed design & subsystem integration,task,EMD,rectangle,#00CC96,4,1.4.1.1,False,False,True,0.85,,#333333,1,,,
33,1.4.1.2,Critical Design Review (CDR),milestone,EMD,diamond,#FECB52,4,1.4.1.2,False,True,True,,,#333333,1,14.0,black,1.0
34,1.4.1.3,Build engineering development models (EDMs),task,EMD,rectangle,#00CC96,4,1.4.1.3,False,False,True,0.85,,#333333,1,,,
35,1.4.2,EMD — Developmental Test & Evaluation (DT&E),task,EMD,rectangle,#00CC96,3,1.4.2,True,False,False,0.28,\,#333333,2,,,
36,1.4.2.1,Test Readiness Review (TRR),milestone,EMD,diamond,#FECB52,4,1.4.2.1,False,True,True,,,#333333,1,14.0,black,1.0
37,1.4.2.2,Execute DT&E events,task,EMD,rectangle,#00CC96,4,1.4.2.2,False,False,True,0.85,,#333333,1,,,
38,1.4.2.3,System Verification Review (SVR),milestone,EMD,diamond,#FECB52,4,1.4.2.3,False,True,True,,,#333333,1,14.0,black,1.0
39,1.4.3,EMD — Production Planning & Readiness,task,EMD,rectangle,#00CC96,3,1.4.3,True,False,False,0.28,\,#333333,2,,,
40,1.4.3.1,Establish production tooling / processes,task,EMD,rectangle,#00CC96,4,1.4.3.1,False,False,True,0.85,,#333333,1,,,
41,1.4.3.2,Production Readiness Review (PRR),milestone,EMD,diamond,#FECB52,4,1.4.3.2,False,True,True,,,#333333,1,14.0,black,1.0
42,1.4.4,Milestone C Decision (enter Production & Deployment),milestone,EMD,triangle-up,#FECB52,3,1.4.4,False,True,True,,,#333333,1,18.0,black,1.0
43,1.5.1,P&D — Low-Rate Initial Production (LRIP),task,P&D,rectangle,#AB63FA,3,1.5.1,True,False,False,0.28,\,#333333,2,,,
44,1.5.1.1,LRIP Lot 1 build & deliver,task,P&D,rectangle,#AB63FA,4,1.5.1.1,False,False,True,0.85,,#333333,1,,,
45,1.5.1.2,Initial Operational Test & Evaluation (IOT&E),task,P&D,rectangle,#AB63FA,4,1.5.1.2,False,False,True,0.85,,#333333,1,,,
46,1.5.2,P&D — Full-Rate Production (FRP) & Fielding,task,P&D,rectangle,#AB63FA,3,1.5.2,True,False,False,0.28,\,#333333,2,,,
47,1.5.2.1,Full-Rate Production (FRP) Decision,milestone,P&D,triangle-up,#FECB52,4,1.5.2.1,False,True,True,,,#333333,1,18.0,black,1.0
48,1.5.2.2,FRP Lot 1,task,P&D,rectangle,#AB63FA,4,1.5.2.2,False,False,True,0.85,,#333333,1,,,
49,1.5.2.3,Initial Operational Capability (IOC),milestone,P&D,star,#FECB52,4,1.5.2.3,False,True,True,,,#333333,1,18.0,black,1.0
50,1.6.1,O&S — Sustainment & Continuous Improvement,task,O&S,rectangle,#19D3F3,3,1.6.1,True,False,False,0.28,\,#333333,2,,,
51,1.6.1.1,"Operations, maintenance, supply support",task,O&S,rectangle,#19D3F3,4,1.6.1.1,False,False,True,0.85,,#333333,1,,,
52,1.6.1.2,Block upgrade / tech refresh planning,task,O&S,rectangle,#19D3F3,4,1.6.1.2,False,False,True,0.85,,#333333,1,,,
53,1.6.1.3,Full Operational Capability (FOC),milestone,O&S,star,#FECB52,4,1.6.1.3,False,True,True,,,#333333,1,18.0,black,1.0
